0.695	2	3
1.145	2	3
1.586	2	3
2.035	2	3
2.477	2	3
2.926	2	3
3.363	2	3
3.813	2	1
4.258	2	3
4.699	2	3
5.145	2	3
5.590	2	3
6.031	2	3
6.480	2	3
6.922	2	3
7.371	2	2
7.590	1	1
7.820	2	2
8.258	2	3
8.699	2	3
9.148	2	3
9.586	2	3
10.039	2	3
10.473	2	3
10.918	2	3
11.371	2	3
11.809	2	3
12.254	2	3
12.699	2	3
13.145	2	3
13.594	2	3
14.031	2	3
14.484	2	2
14.699	1	1
14.969	2	1
15.137	2	1
15.359	2	1
15.582	2	1
15.797	2	1
16.008	2	3
16.250	2	2
16.473	2	1
16.684	2	1
16.914	1	3
17.148	2	2
17.363	2	1
17.547	2	1
17.805	2	1
18.246	2	1
18.480	2	3
18.922	2	3
19.363	2	3
19.813	2	3
20.258	2	3
20.707	2	3
21.145	2	3
21.590	2	2
22.035	2	3
22.477	2	3
22.918	2	3
23.367	2	3
23.813	2	3
24.262	2	3
24.703	2	3
25.137	2	1
25.465	2	1
26.031	2	3
26.480	2	3
26.926	2	3
27.367	2	3
27.816	2	3
28.258	2	3
28.691	2	3
29.148	2	3
29.590	2	3
30.031	2	3
30.480	2	3
30.926	2	3
31.371	2	2
31.813	2	3
32.254	2	1
32.473	2	1
32.738	2	1
32.914	2	1
33.145	2	1
33.359	2	1
33.605	2	2
33.785	2	3
34.027	2	2
34.250	2	1
34.465	2	1
34.688	2	3
34.926	2	1
35.137	2	1
35.586	2	1
36.273	2	1
36.699	2	3
37.148	2	3
37.586	2	3
37.793	2	3
38.043	2	2
38.477	2	3
38.934	2	2
39.367	2	3
39.820	1	3
40.020	2	2
40.254	2	3
40.465	2	3
40.699	2	2
40.906	2	2
41.145	2	3
41.352	2	3
41.594	2	2
41.797	2	1
42.031	2	1
42.238	2	1
42.488	2	1
42.910	1	1
43.133	1	1
43.375	2	3
43.578	2	3
43.809	2	3
44.023	2	3
44.250	2	3
44.465	2	3
44.699	2	3
44.902	2	3
45.145	2	3
45.582	2	2
45.805	1	1
46.035	2	2
46.477	1	3
46.914	2	2
47.367	2	3
47.809	2	3
48.258	2	3
48.703	2	3
49.148	2	3
49.586	2	3
50.031	2	2
50.480	2	3
50.922	2	3
51.363	2	3
51.813	2	3
52.254	2	3
52.703	2	3
53.145	2	3
53.590	2	2
53.809	1	1
54.047	2	1
54.477	2	3
54.926	2	3
55.371	2	3
55.813	2	3
56.254	2	3
56.703	2	3
57.141	2	2
57.594	2	3
58.031	2	3
58.477	2	3
58.918	2	3
59.371	2	3
59.816	2	2
60.254	2	3
60.707	2	2
60.922	1	1
61.191	2	2
61.387	1	2
61.586	2	1
61.805	2	1
62.027	2	1
62.234	2	3
62.473	2	1
62.699	2	1
62.918	2	1
63.133	2	3
63.367	2	3
63.586	2	1
64.031	2	1
64.473	2	1
64.707	2	1
64.914	1	3
65.148	2	2
65.586	2	3
66.039	2	2
66.246	1	3
66.484	2	2
66.695	1	2
66.930	2	2
67.133	1	3
67.367	2	2
67.809	2	2
68.258	2	3
68.469	1	3
68.699	2	3
68.910	1	3
69.145	2	3
69.359	1	3
69.590	2	3
69.801	1	3
70.035	2	3
70.246	1	3
70.484	2	2
70.922	2	3
71.133	1	2
71.359	2	1
71.594	2	1
72.027	1	2
72.262	2	2
72.703	2	2
73.148	2	3
73.359	1	3
73.594	2	2
73.805	1	2
74.035	2	3
74.242	1	3
74.480	2	2
74.918	2	2
75.145	1	2
75.371	2	1
75.578	1	2
75.813	2	3
76.023	1	3
76.254	2	3
76.465	1	3
76.703	2	3
76.914	1	3
77.145	2	3
77.590	2	2
77.801	1	3
78.035	2	2
78.473	2	1
78.691	2	1
78.969	2	1
79.137	2	1
79.363	2	1
79.586	2	1
79.863	2	2
80.250	2	1
80.477	2	1
80.695	2	1
80.906	2	2
81.148	2	1
81.359	2	1
81.559	2	2
81.805	2	1
82.488	1	3
82.918	2	3
83.371	2	2
83.809	2	3
84.020	2	3
84.266	2	2
84.699	2	2
85.156	2	2
85.586	2	1
86.043	2	1
86.238	2	2
86.477	2	3
86.688	2	3
86.922	2	2
87.129	2	2
87.367	2	3
87.574	2	3
87.813	2	2
88.020	2	2
88.258	2	2
88.461	2	2
88.707	2	1
88.906	2	1
89.137	2	1
89.359	2	2
89.598	2	3
89.801	2	3
90.027	2	3
90.246	2	3
90.469	2	3
90.688	2	3
90.922	2	3
91.363	2	3
91.813	1	2
92.258	1	2
92.695	1	3
93.141	2	3
94.055	2	3
94.465	2	3
94.922	2	2
95.145	1	3
95.363	2	3
95.578	1	3
95.813	2	2
96.023	1	3
96.262	2	2
96.469	1	3
96.707	2	2
96.914	1	2
97.148	2	2
97.355	1	3
97.594	2	2
97.797	1	2
98.031	2	2
98.480	2	3
98.691	1	3
98.926	2	2
99.133	1	2
99.367	2	3
99.578	1	3
99.813	2	3
100.023	1	3
100.258	2	3
100.707	2	1
100.910	1	2
101.145	2	3
101.598	2	1
101.813	1	1
102.074	2	1
102.246	2	1
102.477	2	1
102.695	2	1
102.906	2	1
103.125	2	3
103.359	2	2
103.586	2	1
103.801	2	1
104.020	2	3
104.254	2	3
104.477	2	1
104.664	2	1
104.918	2	1
105.137	1	1
105.355	1	1
105.594	2	2
105.805	1	3
106.035	2	2
106.250	1	3
106.480	2	2
106.926	2	2
107.137	1	3
107.371	2	3
107.582	1	2
107.820	2	2
108.258	2	2
108.699	2	2
109.148	2	2
109.359	1	2
109.688	2	2
110.035	2	2
110.246	1	3
110.480	2	3
110.695	1	3
110.922	2	3
111.133	1	3
111.375	2	2
111.582	1	3
111.809	2	3
112.023	1	2
112.254	2	1
112.574	2	1
112.918	1	3
113.148	2	2
113.359	1	3
113.590	2	3
113.801	1	3
114.039	2	3
114.480	2	3
114.695	1	3
114.930	2	2
115.133	1	3
115.367	2	2
115.813	2	1
116.262	2	2
116.469	1	3
116.703	2	3
116.914	1	3
117.141	2	3
117.359	1	3
117.590	2	3
117.805	1	3
118.035	2	2
118.488	2	1
118.926	2	2
119.363	2	1
119.582	2	1
120.020	1	2
120.250	2	1
120.473	2	1
120.691	2	1
120.898	2	3
121.141	2	2
121.363	2	1
121.578	2	1
121.797	2	3
122.039	2	2
122.250	2	1
122.699	2	1
123.016	1	1
123.238	1	1
123.574	1	3
123.809	2	1
124.027	2	1
124.266	2	1
124.457	2	3
124.691	2	2
124.918	2	1
125.133	2	1
125.355	2	3
125.598	2	2
126.313	1	2
126.473	2	1
127.426	2	3
127.801	2	3
